time,x_rms,x_freq_0,x_mag_0,x_freq_1,x_mag_1,x_freq_2,x_mag_2,y_rms,y_freq_0,y_mag_0,y_freq_1,y_mag_1,y_freq_2,y_mag_2,z_rms,z_freq_0,z_mag_0,z_freq_1,z_mag_1,z_freq_2,z_mag_2 
86456,3.9868,8.5938,10.3742,125.0000,10.1360,114.8438,10.0107,6.4320,184.3750,24.2496,152.3438,17.9494,114.0625,17.8126,9.9622,121.0938,33.0243,113.2812,33.0105,185.1562,28.3184
87731,4.5484,69.5312,13.6060,75.0000,13.3718,85.9375,12.8205,7.1304,138.2812,20.5722,146.8750,18.8509,190.6250,18.5825,10.8371,146.0938,30.9317,130.4688,29.9502,79.6875,29.6821
89007,4.5068,89.0625,15.5789,171.8750,15.4745,121.8750,12.1287,6.5633,193.7500,21.2940,135.1562,19.3025,198.4375,18.4125,10.0064,131.2500,35.0737,192.1875,29.2028,153.9062,28.5951
90234,4.1848,199.2188,13.3030,100.0000,11.5574,88.2812,11.3683,6.7613,196.0938,19.9331,160.1562,17.9497,197.6562,17.8198,10.5990,132.8125,31.4012,154.6875,31.1155,115.6250,30.4517
91509,4.3684,197.6562,15.3995,190.6250,13.2402,198.4375,11.6739,6.6940,146.8750,18.0212,113.2812,17.2987,105.4688,17.1428,10.7628,139.8438,34.8001,0.0000,34.2820,122.6562,33.6794
92784,4.3416,81.2500,13.5304,133.5938,11.7056,169.5312,11.2803,6.5475,177.3438,20.4927,182.0312,19.0467,189.8438,17.6664,10.3791,142.1875,30.6839,151.5625,28.1333,199.2188,27.8859
94059,4.0540,123.4375,14.5991,92.1875,13.2410,122.6562,12.6879,6.3016,139.0625,21.4262,198.4375,20.2737,193.7500,18.5216,9.6248,121.8750,33.2815,114.0625,31.7407,160.9375,30.7953
95335,4.1058,94.5312,13.4667,117.1875,11.3521,120.3125,11.0311,7.1602,152.3438,22.5920,188.2812,22.5753,168.7500,20.4389,9.7966,0.0000,36.9660,147.6562,29.9561,155.4688,27.5864
96609,4.4371,84.3750,14.0276,115.6250,13.2682,114.8438,11.4442,6.8741,197.6562,29.8778,161.7188,21.7452,94.5312,20.3273,10.6569,125.0000,36.1273,0.0000,35.7460,153.9062,29.9561
97835,4.0916,146.8750,12.2540,117.1875,11.8547,92.1875,11.3823,6.6902,187.5000,20.6305,198.4375,18.5461,193.7500,18.3669,10.7216,167.9688,34.0480,175.7812,31.3566,146.0938,29.2505
99110,4.1690,114.8438,12.2795,107.8125,11.6188,68.7500,10.6905,6.3953,122.6562,20.9234,146.0938,17.5792,159.3750,17.4472,10.1711,130.4688,38.7200,132.0312,34.8041,0.0000,32.0860
100386,4.2779,185.1562,11.0824,23.4375,10.3070,38.2812,9.6788,7.1232,0.0000,22.8750,192.9688,21.8641,121.0938,20.4862,9.8307,115.6250,35.0164,123.4375,34.4688,185.9375,29.9072
101660,4.2748,114.8438,13.3608,125.0000,11.7505,100.0000,11.2240,6.7664,199.2188,23.2795,192.9688,22.0583,153.9062,19.6941,10.3212,132.0312,31.2168,7.0312,28.7527,192.1875,27.6001
102936,4.2575,100.0000,12.7636,132.8125,10.5709,140.6250,10.0730,6.7518,160.9375,21.4060,196.0938,20.8241,131.2500,20.6109,10.6227,146.0938,33.1339,149.2188,32.3943,130.4688,29.7317
104211,4.2312,73.4375,12.8834,199.2188,11.3041,115.6250,11.0704,6.3574,187.5000,21.2767,185.1562,18.1225,170.3125,17.0087,10.1287,195.3125,29.7115,124.2188,29.0379,149.2188,26.9491
105437,4.2178,129.6875,11.9314,115.6250,11.5104,92.1875,11.4880,6.6359,192.1875,29.4026,167.1875,20.7028,121.8750,20.0042,10.3772,122.6562,34.0658,123.4375,31.4060,143.7500,27.0825
106712,82.9634,42.1875,171.6945,42.9688,167.2218,35.9375,166.9007,37.0387,53.1250,87.8087,45.3125,81.9715,55.4688,80.0554,99.7421,39.8438,257.2189,39.0625,252.3762,40.6250,250.9708
107988,4.1277,192.1875,11.9534,98.4375,11.7442,130.4688,11.6968,6.2884,192.9688,30.7379,153.9062,27.1628,199.2188,26.3035,10.8469,153.9062,31.9273,17.1875,31.0730,130.4688,30.7875
109263,4.2332,130.4688,14.1039,14.0625,11.5412,41.4062,11.0646,6.7360,184.3750,23.6282,138.2812,23.4213,192.1875,23.1786,10.3842,138.2812,45.1379,153.9062,32.6453,113.2812,28.4722
110537,4.2947,12.5000,11.8575,191.4062,11.4385,116.4062,11.3352,6.4700,0.0000,24.4610,192.1875,23.6498,121.8750,18.4296,11.4106,0.0000,58.0720,122.6562,34.9266,138.2812,30.3066
111812,4.3766,186.7188,14.1820,194.5312,12.1269,117.9688,9.8665,6.8980,121.8750,22.2780,107.8125,20.4151,0.0000,20.3740,10.8981,138.2812,38.8190,123.4375,32.5755,100.0000,28.5533
113040,4.0178,103.9062,11.5574,110.9375,10.2133,114.8438,10.0614,6.2603,193.7500,19.5466,199.2188,17.8666,171.8750,17.1666,9.9998,0.0000,33.3670,196.8750,31.3706,158.5938,29.5365
114315,4.2436,15.6250,14.2593,106.2500,13.5053,145.3125,11.6194,6.9269,161.7188,29.0872,192.1875,21.4273,183.5938,18.2456,10.3646,15.6250,36.5526,161.7188,36.1180,174.2188,28.3361
115589,4.2660,59.3750,11.8533,154.6875,10.6405,189.8438,10.0700,6.9371,192.9688,24.2045,184.3750,22.9786,189.0625,18.5274,10.6741,122.6562,32.4290,138.2812,29.6874,79.6875,27.6607
116865,7.0003,0.7812,30.0516,196.0938,16.7267,70.3125,16.5821,8.6530,196.0938,33.2319,95.3125,24.0536,148.4375,21.3671,12.1442,123.4375,36.6893,84.3750,35.9706,0.0000,31.7810
118141,116.8925,0.7812,611.3914,1.5625,554.1948,2.3438,510.9169,49.2362,24.2188,215.2954,25.0000,214.1812,23.4375,186.9448,83.6443,9.3750,369.7796,10.1562,351.4889,10.9375,351.1196
119369,337.3333,0.7812,3894.0696,1.5625,1470.1083,5.4688,1076.5034,268.5737,0.7812,2693.3188,1.5625,1743.8132,2.3438,1329.4812,724.8606,0.7812,9526.5977,1.5625,6112.5068,10.1562,865.4689
120644,243.6532,0.7812,2802.7307,1.5625,1166.7209,10.1562,1104.1168,444.1775,0.7812,4994.0659,1.5625,4306.1396,3.1250,1243.0087,1382.9972,0.7812,18867.5254,2.3438,7895.6250,1.5625,7400.9839
121919,235.8617,0.7812,2873.2136,1.5625,1139.0707,7.8125,830.3544,537.4336,0.7812,6091.3281,1.5625,5699.4985,3.9062,1245.8861,1737.7289,0.7812,26813.8223,1.5625,4627.5811,3.1250,4374.3198
123194,122.6487,0.7812,971.3583,3.1250,860.0549,8.5938,648.0017,609.7896,0.7812,8282.2461,1.5625,4322.0688,3.1250,1967.9269,1612.1136,0.7812,24676.8633,1.5625,4824.2993,2.3438,4668.9790
124471,99.3019,7.0312,696.5960,1.5625,648.5263,5.4688,486.1841,546.5220,0.7812,6295.7739,1.5625,5122.2046,3.1250,2141.9766,1504.9364,0.7812,23106.4121,2.3438,3541.6204,1.5625,2718.8276
125745,114.9882,3.1250,853.2029,7.0312,695.8480,1.5625,497.5962,551.1283,0.7812,7752.8672,1.5625,3057.4019,2.3438,1945.8088,1664.7174,0.7812,26133.3867,1.5625,3668.5164,3.1250,1876.1865
126972,130.0149,0.7812,869.8686,3.9062,727.0084,1.5625,719.6013,540.1221,0.7812,7157.5410,1.5625,4475.0317,2.3438,1495.4491,1616.2283,0.7812,25174.4414,1.5625,5298.7212,5.4688,1292.8558
128247,174.6783,0.7812,1671.9598,4.6875,1031.0472,2.3438,990.9417,421.6862,0.7812,5606.9941,1.5625,3116.3589,2.3438,1517.8730,1442.3221,0.7812,22195.8672,1.5625,3874.4280,3.9062,3212.4443
129523,104.8832,5.4688,611.9921,1.5625,515.7612,2.3438,497.8653,222.2854,0.7812,2467.9375,1.5625,1758.1903,3.1250,776.5168,544.2460,1.5625,4706.1338,0.7812,4690.9907,2.3438,2832.2332
130798,9.3203,39.0625,26.4855,27.3438,24.9325,26.5625,24.8836,14.9198,0.7812,149.7384,1.5625,69.4939,6.2500,41.0252,11.0687,76.5625,29.2102,128.1250,28.9394,197.6562,26.9999
132074,5.9571,35.1562,22.1408,7.0312,17.3044,27.3438,15.8017,8.5899,7.0312,27.6155,60.9375,25.3238,48.4375,21.1913,11.3320,138.2812,44.9568,146.0938,34.7950,6.2500,33.4381
133350,5.0146,12.5000,17.8350,25.0000,14.3664,28.9062,11.8554,7.2468,123.4375,23.7233,128.9062,21.8266,7.0312,20.9862,10.7562,131.2500,33.3045,123.4375,32.8924,129.6875,31.3488
134576,5.4667,14.8438,15.0798,0.7812,14.4938,62.5000,14.4899,8.1422,7.8125,28.7424,121.0938,25.9364,53.1250,22.2111,11.7230,3.9062,35.3438,153.9062,34.1077,146.0938,32.4525
135851,5.1468,64.8438,16.9169,11.7188,13.0575,71.0938,12.6972,7.2116,123.4375,20.7445,131.2500,19.2623,70.3125,18.5611,11.5264,146.0938,36.7553,153.9062,34.5314,117.1875,30.3566
